symbol,target_prob_acc,target_mfe_mae,target_mfe_r2,target_mae_mae,target_mae_r2
IDEA,0.5710714880853192,1.9788593894152438,0.13390382449557403,2.9929613593337625,-0.09730336524749239
POWERGRID,0.7797033827695384,2.1031909978917094,0.35117304620744316,2.946729974636128,0.14815597903472733
GAIL,0.8423596067322113,2.3193766477474917,0.42378910053414376,3.439704914176993,0.06865184196063856
HINDUNILVR,0.7303111111111111,2.418767274082469,0.3981002366362485,3.416509211477695,0.05666015545259029
KOTAKBANK,0.6283952674554241,1.4311618961536685,0.014835154294169817,5.162524393740736,-0.10254357531390834
SBIN,0.7415111111111111,2.640777207903573,0.2709015568629207,3.2576742530840286,0.014972191232491383
HDFCBANK,0.7754666666666666,1.2269247677227209,0.6093316550727885,2.6937764689694146,-0.1837664969838919
BANKBARODA,0.7607065489085153,2.300014637501522,0.3170438921026113,3.5645377519545254,0.06274119290864222
BHEL,0.8281953007832028,2.403886885299809,0.43336876555892956,4.097619260776867,0.027022939179754957
COALINDIA,0.7619555555555556,4.916603996162896,0.5005772577169265,3.0782525925696076,0.2351436038121011
INDUSTOWER,0.760206632227962,1.5424672360034684,0.5962294156330139,3.6531732155856638,0.09867077554089843
IOC,0.702216297283786,1.7220211734329687,0.2813433423129762,3.871323549033873,0.10550982224850214
NMDC,0.6965505749041826,1.788429971916923,0.12766716208611772,4.351667522266563,0.03715066313943072
ICICIBANK,0.8769777777777777,2.648619627190003,0.41826334580248403,2.310415919355727,0.16955595758499342
TECHM,0.7085485752374604,1.961953860406435,0.5416701506091273,2.473622855650426,-0.04673407577085564
BOSCHLTD,0.6225629061823029,3.4112437259804924,0.672033693572754,2.8205430285631548,0.07136261980968206
MM,0.6748444444444445,1.8775571819580432,-0.8473400332431849,3.9092156240356646,-0.00227517636324559
ULTRACEMCO,0.7907015497417097,2.950244854924622,0.23836936746934145,2.3895321277783452,0.11972896529729582
ADANIENT,0.8311111111111111,2.351166167003008,0.2901262118223602,2.6178951374510997,0.040475509221743367
SHREECEM,0.68,4.213787534935758,0.23832722821120222,3.283601562663281,0.012253981798590718
BAJFINANCE,0.802366272287952,1.485217366424295,0.5670804663522049,3.246888487854993,0.23885713222793958
LTIM,0.7348775204132645,1.351742095482362,0.5420339252049564,2.5689635047310735,0.20318224400732843
HCLTECH,0.7904,1.7078699978991327,0.48889867294218115,1.6963178788458593,-0.47979944746872394
HINDALCO,0.7912888888888889,1.8992317866449457,0.5719696901711993,2.8698039274044898,0.0754357068967747
